OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,State,ZipCode,Neighborhood,LargestPropertyUseType,YearsENERGYSTARCertified,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor,harvesine_distance
325,2015,NonResidential,Retail Store,WESTLAKE MALL RETAIL PORTION,400 PINE ST,WA,98101,DOWNTOWN,Unknown,,1.0,4.0,111077.0,91.0,9898724.0,0.0,9899135.0,0.0,69.01,26,1,1.0,0.0,111077.0,27769.25,12357.87924749946
400,2015,NonResidential,Small- and Mid-Sized Office,GALLAND & SENECA BUILDINGS,1201 2ND AVE,WA,98101,DOWNTOWN,Office,,1.0,6.0,98370.0,45.0,6525887.0,0.0,6488262.0,37893.0,47.24,109,1,0.73651,0.26349,98370.0,16395.0,12358.129903931529
442,2015,NonResidential,Large Office,KING BROADCASTING,333 DEXTER AVE N,WA,98109,LAKE UNION,Office,,1.0,4.0,193788.0,59.0,16760217.0,0.0,16760914.0,0.0,116.84,68,5,0.80466,0.19534,193788.0,48447.0,12357.842568063394
499,2015,NonResidential,Small- and Mid-Sized Office,ASIAN COUNSELING and REFERRAL SERVICE BUILDING,3639 MARTIN LUTHER KING JR WAY S,WA,98144,GREATER DUWAMISH,Office,,1.0,3.0,76598.0,76.0,4476997.0,0.0,2234200.0,2242889.0,134.69,7,2,0.72049,0.27951,76598.0,25532.667,12357.122525043227
559,2015,NonResidential,Large Office,YALE & THOMAS,325 EASTLAKE AVE E,WA,98109,LAKE UNION,Office,,1.0,4.0,186971.0,86.0,12662456.0,0.0,9657951.0,3004906.0,226.92,34,2,1.0,0.0,186971.0,46742.75,12356.953052084906
560,2015,NonResidential,Non-Refrigerated Warehouse,EVERGREEN WHLSLE FLORIST (DEMOLISHED),1255 HARRISON ST,WA,98109,LAKE UNION,Unknown,,1.0,1.0,66968.0,1.0,1575581.0,0.0,1573323.0,2323.0,11.09,60,1,1.0,0.0,66968.0,66968.0,12357.034279008387
675,2015,NonResidential,Medical Office,NINTH & JEFFERSON BLDG - HARBORVIEW,908 JEFFERSON ST,WA,98104,EAST,Medical Office,2011,1.0,15.0,434475.0,60.0,55030192.0,21474092.0,33557492.0,0.0,1891.47,7,2,0.42459,0.57541,434475.0,28965.0,12357.378442868849
714,2015,NonResidential,Large Office,MARITIME BUILDING,911 WESTERN AVE,WA,98104,DOWNTOWN,Office,,1.0,5.0,192960.0,95.0,6669954.0,3054035.0,3616068.0,0.0,260.94,104,2,0.83333,0.16667,192960.0,38592.0,12358.292563509382
790,2015,NonResidential,Other,PROLOGIS SEATTLE 10 (ROSS DISPLAY),3417 1ST AVE S,WA,98134,GREATER DUWAMISH,Unknown,,1.0,1.0,54171.0,,1008645.0,0.0,314113.0,694545.0,39.08,46,1,1.0,0.0,54171.0,54171.0,12359.586159220094
838,2015,NonResidential,Medical Office,NORTHWEST MEDICAL CENTER,1001 BROADWAY,WA,98122,EAST,Medical Office,,1.0,3.0,83448.0,54.0,6668456.0,0.0,2661094.0,4007472.0,231.39,87,3,0.81451,0.18549,83448.0,27816.0,12356.841772080117
19658,2015,NonResidential,Small- and Mid-Sized Office,DENNY CENTER,1100 VIRGINIA ST,WA,98101,DOWNTOWN,Office,,1.0,2.0,28568.0,86.0,841242.0,0.0,688567.0,152704.0,12.91,78,1,1.0,0.0,28568.0,14284.0,12357.336660332468
19780,2015,NonResidential,Other,AURORA CHRYSLER PLYMOUTH,13733 AURORA AVE N,WA,98133,NORTHWEST,Other,,1.0,1.0,21633.0,,6293359.0,0.0,2213351.0,4080100.0,232.12,47,1,1.0,0.0,21633.0,21633.0,12352.901707687866
21237,2015,NonResidential,Retail Store,STAPLES,13240 AURORA AVE N,WA,98133,NORTHWEST,Retail Store,,1.0,1.0,23696.0,81.0,1392153.0,0.0,841501.0,550686.0,35.11,14,2,1.0,0.0,23696.0,23696.0,12352.943885779301
